pop1_1a	4	96	4	149
pop1_1b	4	96	4	149
pop1_1c	4	96	4	149
pop1_1d	4	96	4	149
pop1_2a	5	96	4	149
pop1_2b	5	96	4	149
pop1_2c	4	96	4	149
pop1_2d	4	96	4	149
pop1_3a	5	96	4	149
pop1_3b	5	96	4	149
pop1_3c	4	96	4	149
pop1_3d	4	96	4	149
pop1_4a	5	96	4	150
pop1_4b	5	96	4	150
pop1_4c	4	96	4	150
pop1_4d	4	96	4	150
pop1_5a	5	105	4	149
pop1_5b	5	105	4	149
pop1_5c	4	105	4	149
pop1_5d	4	105	4	149
pop1_6a	5	96	4	149
pop1_6b	5	96	4	149
pop1_6c	4	96	4	149
pop1_6d	4	96	4	149
pop1_7a	5	105	4	149
pop1_7b	5	105	4	149
pop1_7c	5	105	4	149
pop1_7d	5	105	4	149
pop1_8a	4	103	4	149
pop1_8b	4	103	4	149
pop1_8c	4	103	4	149
pop1_8d	4	103	4	149
pop1_9a	4	92	4	140
pop1_9b	4	92	4	140
pop1_9c	4	92	4	140
pop1_9d	4	92	4	140
pop1_10a	5	96	4	149
pop1_10b	5	96	4	149
pop1_10c	4	92	4	149
pop1_10d	4	92	4	149
pop1_11a	5	96	4	149
pop1_11b	5	96	4	149
pop1_11c	4	96	4	149
pop1_11d	4	96	4	149
pop1_12a	5	96	4	149
pop1_12b	5	96	4	149
pop1_12c	4	96	4	149
pop1_12d	4	96	4	149
pop1_13a	5	104	4	149
pop1_13b	5	104	4	149
pop1_13c	4	104	4	149
pop1_13d	4	104	4	149
pop1_14a	5	96	4	149
pop1_14b	5	96	4	149
pop1_14c	4	96	3	149
pop1_14d	4	96	3	149
pop1_15a	5	96	4	149
pop1_15b	5	96	4	149
pop1_15c	4	96	4	149
pop1_15d	4	96	4	149
pop1_16a	4	92	4	149
pop1_16b	4	92	4	149
pop1_16c	4	92	3	149
pop1_16d	4	92	3	149
pop1_17a	5	104	4	149
pop1_17b	5	104	4	149
pop1_17c	4	104	4	149
pop1_17d	4	104	4	149
pop1_18a	5	96	4	149
pop1_18b	5	96	4	149
pop1_18c	4	96	4	149
pop1_18d	4	96	4	149
pop1_19a	5	102	4	149
pop1_19b	5	102	4	149
pop1_19c	5	96	4	149
pop1_19d	5	96	4	149
pop1_20a	4	92	4	149
pop1_20b	4	92	4	149
pop1_20c	4	92	4	149
pop1_20d	4	92	4	149
pop1_21a	5	96	4	150
pop1_21b	5	96	4	150
pop1_21c	4	92	4	140
pop1_21d	4	92	4	140
pop1_22a	4	98	4	149
pop1_22b	4	98	4	149
pop1_22c	4	98	4	149
pop1_22d	4	98	4	149
pop1_23a	5	96	4	149
pop1_23b	5	96	4	149
pop1_23c	4	96	4	149
pop1_23d	4	96	4	149
pop1_24a	5	96	4	149
pop1_24b	5	96	4	149
pop1_24c	4	96	4	149
pop1_24d	4	96	4	149
pop1_25a	5	96	4	149
pop1_25b	5	96	4	149
pop1_25c	4	96	4	149
pop1_25d	4	96	4	149
pop1_26a	5	105	4	149
pop1_26b	5	105	4	149
pop1_26c	4	92	4	149
pop1_26d	4	92	4	149
pop1_27a	5	96	4	149
pop1_27b	5	96	4	149
pop1_27c	4	96	4	149
pop1_27d	4	96	4	149
pop1_28a	5	96	4	149
pop1_28b	5	96	4	149
pop1_28c	4	96	4	149
pop1_28d	4	96	4	149
pop1_29a	4	103	4	166
pop1_29b	4	103	4	166
pop1_29c	4	103	4	149
pop1_29d	4	103	4	149
pop1_30a	5	96	4	149
pop1_30b	5	96	4	149
pop1_30c	4	96	4	149
pop1_30d	4	96	4	149
pop1_31a	4	92	4	149
pop1_31b	4	92	4	149
pop1_31c	4	92	4	149
pop1_31d	4	92	4	149
pop1_32a	5	96	4	149
pop1_32b	5	96	4	149
pop1_32c	4	96	4	149
pop1_32d	4	96	4	149
pop1_33a	5	96	4	166
pop1_33b	5	96	4	166
pop1_33c	4	96	3	149
pop1_33d	4	96	3	149
pop1_34a	5	96	4	149
pop1_34b	5	96	4	149
pop1_34c	4	96	4	149
pop1_34d	4	96	4	149
pop1_35a	5	96	4	149
pop1_35b	5	96	4	149
pop1_35c	4	96	4	149
pop1_35d	4	96	4	149
pop1_36a	5	96	4	149
pop1_36b	5	96	4	149
pop1_36c	4	96	4	149
pop1_36d	4	96	4	149
pop1_37a	5	96	4	149
pop1_37b	5	96	4	149
pop1_37c	4	96	4	149
pop1_37d	4	96	4	149
pop1_38a	5	96	4	149
pop1_38b	5	96	4	149
pop1_38c	4	96	4	149
pop1_38d	4	96	4	149
pop1_39a	4	96	4	149
pop1_39b	4	96	4	149
pop1_39c	4	96	4	149
pop1_39d	4	96	4	149
pop1_40a	5	92	4	149
pop1_40b	5	92	4	149
pop1_40c	4	92	4	149
pop1_40d	4	92	4	149
pop1_41a	4	92	4	149
pop1_41b	4	92	4	149
pop1_41c	4	92	4	149
